Investimento por Grupo de Despesa (GND) e Fun‡Æo ;jan/08;fev/08;mar/08;abr/08;mai/08;jun/08;jul/08;ago/08;set/08;out/08;nov/08;dez/08;jan/09;fev/09;mar/09;abr/09;mai/09;jun/09;jul/09;ago/09;set/09;out/09;nov/09;dez/09;jan/10;fev/10;mar/10;abr/10;mai/10;jun/10;jul/10;ago/10;set/10;out/10;nov/10;dez/10;jan/11;fev/11;mar/11;abr/11;mai/11;jun/11;jul/11;ago/11;set/11;out/11;nov/11;dez/11;jan/12;fev/12;mar/12;abr/12;mai/12;jun/12;jul/12;ago/12;set/12;out/12;nov/12;dez/12;jan/13;fev/13;mar/13;abr/13;mai/13;jun/13;jul/13;ago/13;set/13;out/13;nov/13;dez/13;jan/14;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19;jan/20;fev/20;mar/20;abr/20;mai/20;jun/20;jul/20;ago/20;set/20;out/20;nov/20;dez/20;jan/21;fev/21;mar/21;abr/21;mai/21;jun/21;jul/21;ago/21;set/21;out/21;nov/21;dez/21;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23;jul/23;ago/23;set/23;out/23;nov/23;dez/23;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24
1. INVESTIMENTO TOTAL (1 + 2 + 3); 3.215,9 ; 2.820,1 ; 3.826,2 ; 3.721,9 ; 5.122,0 ; 6.030,2 ; 7.360,1 ; 7.439,5 ; 5.739,2 ; 4.345,5 ; 7.085,7 ; 12.463,1 ; 3.530,1 ; 2.950,6 ; 3.745,4 ; 5.728,7 ; 5.936,9 ; 6.473,9 ; 6.978,1 ; 4.830,2 ; 8.227,5 ; 7.793,1 ; 7.328,2 ; 16.375,6 ; 6.898,5 ; 5.513,9 ; 9.704,0 ; 6.700,0 ; 9.281,2 ; 7.550,4 ; 10.562,6 ; 5.455,3 ; 10.856,3 ; 10.861,4 ; 8.635,1 ; 8.379,9 ; 16.915,1 ; 3.202,0 ; 7.289,5 ; 7.807,6 ; 8.000,7 ; 10.473,0 ; 10.150,6 ; 6.825,6 ; 7.239,9 ; 9.872,8 ; 6.670,8 ; 16.386,8 ; 15.768,1 ; 3.798,1 ; 12.371,4 ; 10.950,5 ; 10.350,0 ; 13.235,8 ; 11.851,8 ; 7.381,8 ; 5.450,0 ; 11.204,5 ; 7.749,7 ; 8.909,9 ; 18.529,1 ; 5.179,3 ; 8.579,1 ; 11.613,2 ; 7.345,2 ; 11.895,9 ; 10.574,6 ; 6.249,7 ; 8.243,3 ; 13.338,5 ; 8.715,7 ; 8.857,7 ; 20.268,8 ; 7.270,9 ; 9.541,6 ; 12.322,5 ; 13.418,4 ; 9.629,9 ; 11.823,7 ; 11.655,3 ; 15.272,7 ; 11.230,1 ; 8.351,4 ; 6.757,5 ; 13.086,4 ; 5.901,6 ; 6.469,2 ; 6.964,2 ; 7.056,3 ; 6.762,1 ; 7.204,6 ; 6.753,3 ; 8.664,0 ; 6.313,3 ; 5.780,8 ; 9.360,7 ; 8.438,2 ; 6.242,0 ; 6.922,0 ; 8.254,3 ; 4.571,5 ; 6.090,3 ; 6.389,8 ; 4.738,3 ; 6.381,7 ; 4.038,3 ; 8.386,5 ; 26.036,2 ; 1.749,5 ; 2.574,8 ; 4.046,3 ; 3.484,4 ; 5.926,5 ; 6.752,8 ; 4.372,2 ; 4.065,9 ; 3.848,2 ; 4.235,3 ; 4.565,3 ; 20.065,3 ; 2.113,3 ; 2.263,9 ; 7.691,5 ; 5.040,3 ; 5.010,1 ; 7.758,5 ; 4.677,7 ; 5.187,9 ; 4.600,5 ; 5.258,7 ; 6.862,2 ; 17.233,8 ; 1.791,9 ; 2.907,5 ; 3.723,1 ; 8.084,4 ; 4.682,4 ; 3.392,7 ; 4.308,9 ; 3.683,2 ; 4.212,7 ; 4.728,4 ; 5.736,7 ; 28.136,2 ; 2.232,8 ; 2.809,7 ; 3.842,3 ; 3.771,6 ; 3.500,9 ; 35.160,3 ; 4.550,8 ; 11.756,4 ; 25.794,3 ; 9.922,4 ; 5.265,2 ; 27.223,7 ; 1.074,9 ; 1.196,4 ; 1.756,0 ; 3.263,5 ; 3.245,0 ; 10.136,4 ; 8.495,9 ; 4.263,1 ; 4.807,6 ; 3.709,2 ; 7.945,3 ; 17.246,2 ; 856,1 ; 2.630,8 ; 5.283,4 ; 2.847,5 ; 3.450,5 ; 6.339,4 ; 4.804,6 ; 3.140,5 ; 3.107,2 ; 2.072,5 ; 2.950,0 ; 11.756,1 ; 1.792,5 ; 2.302,7 ; 4.214,7 ; 3.832,5 ; 6.052,6 ; 5.234,7 ; 7.374,1 ; 8.177,5 ; 5.198,0 ; 8.960,8 ; 7.104,9 ; 24.700,4 ; 1.842,2 ; 4.065,6 ; 4.300,7 ; 5.115,4 ; 9.456,3 ; 7.318,8 ; 12.154,2 ; 3.680,5 ; 4.351,7 
1.1 Investimentos (GND 4); 2.123,2 ; 2.794,7 ; 3.812,1 ; 3.688,0 ; 5.079,7 ; 5.965,5 ; 6.733,5 ; 6.322,1 ; 5.669,3 ; 4.031,5 ; 6.442,6 ; 11.595,6 ; 2.686,9 ; 2.734,8 ; 3.862,0 ; 4.989,4 ; 5.904,0 ; 6.444,1 ; 6.713,9 ; 5.199,3 ; 7.634,3 ; 7.567,7 ; 7.025,6 ; 14.768,5 ; 4.416,6 ; 5.884,7 ; 9.184,9 ; 6.953,8 ; 8.436,4 ; 8.331,9 ; 9.975,5 ; 6.110,5 ; 8.933,7 ; 8.402,3 ; 7.964,3 ; 15.475,4 ; 6.854,6 ; 3.252,6 ; 7.599,9 ; 6.057,0 ; 6.466,7 ; 7.626,7 ; 6.836,8 ; 6.567,7 ; 6.589,8 ; 6.226,3 ; 7.625,4 ; 16.324,4 ; 3.479,4 ; 3.869,8 ; 7.600,4 ; 6.411,0 ; 7.506,0 ; 9.341,3 ; 10.348,9 ; 6.558,7 ; 6.888,3 ; 9.532,2 ; 7.843,1 ; 13.944,7 ; 3.311,2 ; 4.812,5 ; 7.234,0 ; 8.092,3 ; 7.806,7 ; 7.646,4 ; 8.578,9 ; 7.623,7 ; 6.613,1 ; 9.605,9 ; 6.248,9 ; 11.188,0 ; 10.427,5 ; 6.528,6 ; 5.996,8 ; 10.027,3 ; 9.776,2 ; 6.542,5 ; 9.901,0 ; 12.040,6 ; 9.491,7 ; 7.148,7 ; 4.861,8 ; 8.582,0 ; 6.507,1 ; 4.720,5 ; 4.421,1 ; 3.528,3 ; 4.860,4 ; 4.849,2 ; 5.494,2 ; 4.358,9 ; 6.282,3 ; 4.884,5 ; 5.423,4 ; 7.782,0 ; 5.864,2 ; 4.920,5 ; 6.176,1 ; 5.588,2 ; 3.815,6 ; 5.069,9 ; 5.564,0 ; 3.941,2 ; 3.729,4 ; 3.421,0 ; 4.793,5 ; 18.688,6 ; 1.681,6 ; 2.391,3 ; 3.889,0 ; 2.583,3 ; 4.894,9 ; 4.443,7 ; 3.788,1 ; 3.765,3 ; 3.853,9 ; 3.950,2 ; 3.942,9 ; 15.248,0 ; 1.270,2 ; 2.084,5 ; 5.487,6 ; 3.634,5 ; 4.969,7 ; 4.974,4 ; 4.297,5 ; 4.524,3 ; 3.881,2 ; 4.696,8 ; 5.856,4 ; 11.603,6 ; 1.653,4 ; 2.046,3 ; 3.124,5 ; 3.725,9 ; 3.840,0 ; 2.775,9 ; 3.964,8 ; 3.423,5 ; 3.576,1 ; 4.600,4 ; 5.342,4 ; 12.423,5 ; 2.096,1 ; 1.656,9 ; 3.840,1 ; 3.769,5 ; 3.376,6 ; 5.240,8 ; 4.396,6 ; 5.059,6 ; 3.659,7 ; 3.250,1 ; 4.421,7 ; 13.530,9 ; 447,1 ; 1.196,3 ; 1.755,5 ; 3.163,7 ; 2.432,7 ; 6.262,5 ; 2.951,7 ; 4.127,7 ; 4.789,8 ; 3.701,4 ; 3.336,6 ; 8.539,5 ; 843,6 ; 2.276,0 ; 5.067,4 ; 2.838,4 ; 3.001,4 ; 6.111,9 ; 4.803,5 ; 2.776,7 ; 3.013,9 ; 1.962,1 ; 2.754,1 ; 8.983,6 ; 1.790,2 ; 1.662,4 ; 4.213,9 ; 3.681,9 ; 4.751,2 ; 4.281,2 ; 3.963,8 ; 8.170,4 ; 4.506,3 ; 6.876,3 ; 5.066,2 ; 12.470,3 ; 1.841,9 ; 2.147,1 ; 3.790,8 ; 4.809,6 ; 4.444,0 ; 5.900,2 ; 9.168,3 ; 2.868,4 ; 2.813,4 
1.1.01 Legislativa; 4,6 ; 5,1 ; 14,0 ; 13,8 ; 17,3 ; 10,5 ; 17,2 ; 23,4 ; 29,1 ; 19,1 ; 22,1 ; 20,5 ; 12,3 ; 13,8 ; 17,8 ; 11,3 ; 17,7 ; 12,2 ; 6,2 ; 7,0 ; 14,1 ; 11,8 ; 11,0 ; 15,8 ; 6,0 ; 9,9 ; 13,8 ; 16,3 ; 20,8 ; 17,7 ; 22,1 ; 22,7 ; 21,5 ; 26,9 ; 19,8 ; 34,8 ; 23,6 ; 26,5 ; 26,8 ; 19,0 ; 25,4 ; 37,5 ; 29,1 ; 26,4 ; 19,5 ; 15,3 ; 20,5 ; 20,3 ; 9,8 ; 11,6 ; 13,4 ; 19,0 ; 19,4 ; 17,5 ; 27,2 ; 14,6 ; 15,2 ; 17,9 ; 7,5 ; 21,6 ; 7,8 ; 14,2 ; 11,7 ; 19,3 ; 15,4 ; 11,6 ; 17,3 ; 25,1 ; 11,1 ; 13,5 ; 6,2 ; 18,6 ; 23,5 ; 20,1 ; 17,2 ; 33,4 ; 13,0 ; 18,8 ; 19,2 ; 19,0 ; 30,5 ; 36,2 ; 22,1 ; 50,5 ; 31,2 ; 20,3 ; 43,9 ; 20,5 ; 28,6 ; 25,9 ; 29,1 ; 23,0 ; 17,9 ; 12,5 ; 23,9 ; 31,3 ; 12,0 ; 13,3 ; 35,4 ; 28,9 ; 37,3 ; 24,8 ; 21,5 ; 20,1 ; 19,6 ; 21,3 ; 19,8 ; 90,1 ; 4,3 ; 12,4 ; 16,4 ; 10,0 ; 19,4 ; 9,2 ; 10,1 ; 7,1 ; 10,8 ; 8,5 ; 27,4 ; 30,0 ; 3,0 ; 7,0 ; 7,0 ; 5,9 ; 4,3 ; 5,8 ; 9,0 ; 12,5 ; 8,3 ; 9,0 ; 6,1 ; 30,5 ; 3,2 ; 5,2 ; 3,6 ; 6,7 ; 5,7 ; 7,1 ; 4,3 ; 10,2 ; 6,8 ; 2,8 ; 7,6 ; 11,4 ; 2,5 ; 3,4 ; 4,0 ; 9,3 ; 4,8 ; 7,0 ; 13,8 ; 4,1 ; 19,0 ; 8,7 ; 6,3 ; 24,6 ; 1,2 ; 3,8 ; 2,9 ; 22,5 ; 8,8 ; 6,7 ; 3,4 ; 9,9 ; 2,8 ; 4,0 ; 9,5 ; 17,5 ; 2,1 ; 1,8 ; 4,2 ; 1,4 ; 1,4 ; 3,6 ; 1,9 ; 5,2 ; 18,5 ; 17,0 ; 1,1 ; 42,1 ; 8,8 ; 3,1 ; 6,1 ; 5,8 ; 11,8 ; 10,7 ; 13,1 ; 11,1 ; 16,0 ; 8,3 ; 10,8 ; 18,5 ; 2,8 ; 5,7 ; 15,7 ; 28,3 ; 14,0 ; 15,8 ; 8,3 ; 9,3 ; 12,5 
1.1.02 Judici ria; 113,7 ; 164,9 ; 165,8 ; 184,8 ; 167,0 ; 166,4 ; 120,7 ; 205,3 ; 214,2 ; 172,3 ; 126,6 ; 177,9 ; 78,1 ; 112,7 ; 211,7 ; 159,7 ; 121,0 ; 119,1 ; 155,1 ; 123,2 ; 102,8 ; 108,2 ; 132,9 ; 182,4 ; 88,1 ; 102,4 ; 155,2 ; 160,4 ; 162,6 ; 194,2 ; 303,4 ; 272,4 ; 235,7 ; 174,6 ; 136,3 ; 175,7 ; 137,1 ; 109,1 ; 129,8 ; 199,1 ; 165,1 ; 169,2 ; 128,1 ; 124,6 ; 139,0 ; 172,4 ; 158,8 ; 272,8 ; 135,2 ; 197,4 ; 202,2 ; 159,7 ; 188,1 ; 144,5 ; 112,7 ; 173,6 ; 195,6 ; 130,7 ; 102,0 ; 130,3 ; 119,4 ; 128,5 ; 133,2 ; 177,3 ; 158,9 ; 107,7 ; 109,3 ; 98,7 ; 106,3 ; 135,6 ; 87,8 ; 107,9 ; 83,1 ; 99,3 ; 150,4 ; 127,8 ; 198,5 ; 133,5 ; 212,2 ; 119,4 ; 143,9 ; 151,7 ; 99,5 ; 224,1 ; 74,1 ; 127,2 ; 158,9 ; 176,4 ; 136,7 ; 144,6 ; 155,9 ; 102,9 ; 136,6 ; 96,2 ; 112,8 ; 139,2 ; 104,1 ; 106,7 ; 109,8 ; 126,5 ; 156,2 ; 102,4 ; 106,9 ; 152,9 ; 187,1 ; 121,4 ; 52,3 ; 295,1 ; 23,9 ; 33,8 ; 57,3 ; 42,2 ; 66,1 ; 66,7 ; 81,1 ; 51,9 ; 48,1 ; 51,3 ; 81,0 ; 668,7 ; 51,1 ; 76,2 ; 94,9 ; 92,8 ; 100,4 ; 70,3 ; 93,8 ; 85,9 ; 140,1 ; 78,4 ; 94,5 ; 449,4 ; 32,0 ; 55,2 ; 54,6 ; 52,0 ; 40,7 ; 43,8 ; 47,5 ; 63,5 ; 56,1 ; 69,1 ; 102,6 ; 558,5 ; 22,9 ; 33,3 ; 51,2 ; 37,7 ; 32,4 ; 41,3 ; 51,2 ; 58,5 ; 91,5 ; 50,9 ; 53,1 ; 260,3 ; 15,4 ; 27,9 ; 21,6 ; 20,2 ; 19,1 ; 21,1 ; 23,0 ; 22,3 ; 36,6 ; 27,0 ; 44,7 ; 293,0 ; 54,3 ; 77,6 ; 181,0 ; 268,6 ; 236,6 ; 185,3 ; 157,1 ; 168,6 ; 80,2 ; 69,4 ; 79,6 ; 412,1 ; 213,1 ; 58,2 ; 63,8 ; 66,4 ; 66,9 ; 56,2 ; 55,2 ; 91,0 ; 224,9 ; 206,9 ; 278,9 ; 655,6 ; 159,0 ; 249,8 ; 221,7 ; 197,8 ; 129,6 ; 137,0 ; 94,5 ; 81,6 ; 61,6 
1.1.03 Essencial … Justi‡a; 16,9 ; 34,0 ; 35,0 ; 42,2 ; 42,9 ; 25,2 ; 24,8 ; 19,7 ; 33,8 ; 12,8 ; 21,4 ; 29,2 ; 16,9 ; 32,2 ; 46,9 ; 75,1 ; 38,6 ; 30,2 ; 24,4 ; 23,6 ; 55,3 ; 19,4 ; 29,9 ; 70,6 ; 16,7 ; 19,6 ; 38,4 ; 25,6 ; 24,7 ; 50,0 ; 27,7 ; 21,3 ; 52,7 ; 15,7 ; 17,4 ; 50,6 ; 12,5 ; 36,2 ; 37,8 ; 41,3 ; 40,1 ; 22,5 ; 30,4 ; 19,0 ; 23,3 ; 16,9 ; 24,5 ; 21,0 ; 14,4 ; 39,4 ; 39,1 ; 39,1 ; 36,0 ; 38,8 ; 55,2 ; 32,0 ; 32,0 ; 29,2 ; 23,5 ; 31,0 ; 22,1 ; 30,3 ; 30,1 ; 46,8 ; 50,8 ; 28,7 ; 39,7 ; 42,3 ; 31,7 ; 22,0 ; 27,0 ; 25,7 ; 16,4 ; 35,7 ; 32,2 ; 33,4 ; 44,3 ; 41,3 ; 32,5 ; 37,1 ; 32,9 ; 26,6 ; 22,8 ; 37,3 ; 19,9 ; 25,1 ; 39,6 ; 30,2 ; 44,2 ; 41,3 ; 31,8 ; 28,2 ; 35,3 ; 59,6 ; 30,0 ; 34,0 ; 17,0 ; 27,3 ; 54,5 ; 47,0 ; 45,3 ; 43,7 ; 54,7 ; 31,2 ; 36,2 ; 31,8 ; 28,9 ; 89,0 ; 7,5 ; 21,0 ; 36,0 ; 21,2 ; 23,9 ; 27,9 ; 23,8 ; 25,9 ; 24,4 ; 31,3 ; 24,6 ; 88,8 ; 10,6 ; 17,9 ; 18,3 ; 17,7 ; 18,8 ; 32,2 ; 15,4 ; 35,8 ; 14,1 ; 20,2 ; 20,2 ; 44,2 ; 8,6 ; 10,1 ; 7,5 ; 15,0 ; 16,3 ; 5,7 ; 8,2 ; 9,9 ; 14,1 ; 19,5 ; 13,0 ; 16,9 ; 8,9 ; 4,0 ; 5,8 ; 4,5 ; 2,0 ; 7,8 ; 22,4 ; 10,1 ; 8,4 ; 7,6 ; 11,1 ; 127,7 ; 1,5 ; 12,6 ; 19,1 ; 27,1 ; 4,8 ; 13,8 ; 13,6 ; 4,2 ; 12,1 ; 21,2 ; 30,9 ; 76,5 ; 4,0 ; 5,9 ; 6,9 ; 9,6 ; 23,1 ; 9,3 ; 7,2 ; 8,6 ; 19,9 ; 9,4 ; 19,8 ; 93,4 ; 6,1 ; 4,8 ; 9,4 ; 13,9 ; 19,1 ; 12,0 ; 10,6 ; 39,0 ; 15,9 ; 16,3 ; 15,7 ; 36,3 ; 6,4 ; 5,9 ; 5,3 ; 12,0 ; 9,3 ; 8,2 ; 9,8 ; 6,5 ; 11,1 
1.1.04 Administra‡Æo; 46,8 ; 45,9 ; 71,0 ; 90,0 ; 64,5 ; 92,5 ; 73,9 ; 91,3 ; 41,9 ; 60,7 ; 99,2 ; 100,1 ; 26,2 ; 33,3 ; 83,0 ; 92,2 ; 96,9 ; 117,5 ; 75,9 ; 73,1 ; 75,6 ; 60,2 ; 68,2 ; 117,1 ; 41,5 ; 44,3 ; 154,6 ; 100,8 ; 300,3 ; 74,0 ; 93,8 ; 41,0 ; 58,8 ; 61,4 ; 48,2 ; 148,6 ; 56,7 ; 60,1 ; 114,9 ; 119,4 ; 91,0 ; 132,1 ; 124,4 ; 136,0 ; 118,1 ; 81,6 ; 43,5 ; 231,1 ; 67,7 ; 46,9 ; 87,0 ; 85,8 ; 110,9 ; 59,8 ; 65,4 ; 78,8 ; 29,8 ; 131,6 ; 68,0 ; 109,3 ; 57,9 ; 220,8 ; 517,2 ; 646,0 ; 211,8 ; 144,8 ; 210,1 ; 218,7 ; 99,2 ; 354,9 ; 93,8 ; 254,9 ; 579,2 ; 105,0 ; 113,0 ; 205,5 ; 207,8 ; 152,9 ; 237,2 ; 334,8 ; 335,7 ; 154,5 ; 100,2 ; 139,5 ; 120,3 ; 71,5 ; 85,6 ; 86,4 ; 119,3 ; 101,8 ; 117,7 ; 59,0 ; 104,2 ; 88,6 ; 61,3 ; 109,4 ; 51,8 ; 38,7 ; 63,4 ; 72,1 ; 66,0 ; 63,0 ; 77,0 ; 49,3 ; 54,5 ; 51,6 ; 63,1 ; 142,9 ; 13,7 ; 52,3 ; 69,5 ; 86,4 ; 69,9 ; 89,3 ; 71,6 ; 58,4 ; 72,1 ; 85,7 ; 97,6 ; 144,4 ; 51,0 ; 41,4 ; 75,5 ; 80,4 ; 53,1 ; 50,8 ; 67,2 ; 74,5 ; 87,7 ; 79,4 ; 83,1 ; 164,8 ; 24,4 ; 66,5 ; 33,8 ; 67,9 ; 53,9 ; 55,0 ; 95,7 ; 80,7 ; 25,5 ; 71,2 ; 56,6 ; 150,9 ; 13,3 ; 55,9 ; 57,3 ; 41,5 ; 54,1 ; 77,7 ; 67,5 ; 114,4 ; 36,6 ; 47,9 ; 52,5 ; 132,0 ; 10,4 ; 28,6 ; 47,1 ; 51,6 ; 53,4 ; 46,7 ; 49,2 ; 52,1 ; 33,3 ; 51,4 ; 48,3 ; 110,1 ; 7,2 ; 16,2 ; 41,7 ; 24,5 ; 26,0 ; 35,3 ; 35,9 ; 61,0 ; 67,7 ; 22,5 ; 70,2 ; 183,0 ; 10,4 ; 17,0 ; 65,5 ; 33,6 ; 57,7 ; 83,7 ; 55,0 ; 70,1 ; 76,6 ; 43,3 ; 27,5 ; 146,7 ; 12,8 ; 14,7 ; 78,4 ; 41,5 ; 37,7 ; 29,3 ; 43,5 ; 66,2 ; 46,2 
1.1.05 Defesa Nacional; 329,6 ; 175,5 ; 215,2 ; 245,2 ; 300,6 ; 403,4 ; 436,6 ; 598,6 ; 1.057,8 ; 923,8 ; 1.199,6 ; 2.141,8 ; 357,1 ; 282,3 ; 532,2 ; 471,8 ; 403,9 ; 700,1 ; 654,3 ; 444,5 ; 631,5 ; 503,4 ; 559,4 ; 3.859,0 ; 472,5 ; 1.444,8 ; 1.881,6 ; 419,4 ; 974,4 ; 802,5 ; 1.301,6 ; 482,0 ; 690,0 ; 768,8 ; 1.445,2 ; 4.869,9 ; 734,8 ; 413,5 ; 1.064,4 ; 762,6 ; 649,0 ; 1.353,5 ; 813,1 ; 734,6 ; 1.460,3 ; 666,7 ; 1.493,8 ; 3.541,2 ; 397,6 ; 378,8 ; 1.678,3 ; 806,0 ; 797,8 ; 1.170,5 ; 1.412,6 ; 1.345,5 ; 1.111,2 ; 2.661,0 ; 1.136,6 ; 2.482,5 ; 380,3 ; 885,7 ; 1.448,7 ; 806,7 ; 838,8 ; 2.110,1 ; 2.406,2 ; 1.052,7 ; 601,3 ; 2.040,9 ; 816,8 ; 1.921,4 ; 3.285,1 ; 600,7 ; 461,0 ; 2.728,7 ; 942,9 ; 850,5 ; 1.669,3 ; 1.025,4 ; 2.173,7 ; 864,5 ; 1.372,3 ; 2.411,3 ; 846,8 ; 376,0 ; 501,0 ; 628,9 ; 804,8 ; 646,4 ; 858,0 ; 633,9 ; 1.167,9 ; 696,1 ; 1.360,0 ; 1.676,9 ; 703,1 ; 1.077,5 ; 855,5 ; 2.077,5 ; 594,1 ; 339,9 ; 1.293,0 ; 662,0 ; 383,7 ; 243,9 ; 516,8 ; 4.869,8 ; 220,4 ; 192,4 ; 346,8 ; 415,4 ; 1.582,2 ; 822,5 ; 619,1 ; 686,9 ; 1.001,8 ; 700,9 ; 874,9 ; 4.114,7 ; 246,4 ; 334,1 ; 388,0 ; 647,8 ; 845,8 ; 780,6 ; 575,0 ; 1.460,8 ; 581,9 ; 678,9 ; 1.325,7 ; 3.974,8 ; 267,3 ; 271,2 ; 513,6 ; 426,8 ; 785,2 ; 452,0 ; 551,3 ; 661,3 ; 635,7 ; 1.355,2 ; 1.462,9 ; 3.732,8 ; 232,2 ; 280,8 ; 593,5 ; 620,3 ; 651,3 ; 744,1 ; 704,1 ; 1.053,4 ; 772,6 ; 886,3 ; 833,0 ; 3.126,8 ; 85,3 ; 254,1 ; 743,9 ; 578,4 ; 355,6 ; 1.188,1 ; 497,7 ; 526,4 ; 1.097,5 ; 499,6 ; 651,0 ; 2.296,8 ; 49,5 ; 392,6 ; 381,4 ; 341,1 ; 220,0 ; 1.099,8 ; 718,9 ; 862,4 ; 698,6 ; 371,8 ; 670,8 ; 2.758,7 ; 236,4 ; 251,9 ; 390,4 ; 288,8 ; 587,8 ; 854,8 ; 816,6 ; 513,3 ; 491,9 ; 1.745,6 ; 698,6 ; 1.618,2 ; 269,1 ; 271,8 ; 361,3 ; 624,5 ; 609,5 ; 722,2 ; 921,1 ; 616,3 ; 436,1 
